City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Okha,RU,35.13,overcast clouds,53.5739,142.9478,Империя
3,Olafsvik,IS,47.53,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
8,Mataura,NZ,42.55,overcast clouds,-46.1927,168.8643,Ellie's Villa
9,Kaeo,NZ,58.32,light rain,-35.1,173.7833,Bushido Lodge
11,Punta Arenas,CL,37.51,clear sky,-53.15,-70.9167,Hotel Dreams Del Estrecho
13,Qaqortoq,GL,42.53,overcast clouds,60.7167,-46.0333,Hotel Qaqortoq
16,Kodiak,US,49.84,few clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
22,Skovorodino,RU,55.92,few clouds,53.9833,123.9167,Лесная Застава
24,Longyearbyen,SJ,40.84,clear sky,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
28,Omsukchan,RU,39.22,overcast clouds,62.5333,155.8,Zori
29,Busselton,AU,50.09,few clouds,-33.65,115.3333,Observatory Guest House
34,Apatity,RU,54.57,clear sky,67.5641,33.4031,Guest House
36,Codrington,AU,55.9,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
37,Levin,NZ,55.96,overcast clouds,-40.6333,175.275,Levin Kiwi Holiday Park
39,Bluff,NZ,46.18,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
42,Clyde River,CA,35.83,light intensity drizzle,70.4692,-68.5914,Qamaq Hotel
43,Pevek,RU,46.71,scattered clouds,69.7008,170.3133,Hotel ABC
47,Khatanga,RU,32.95,overcast clouds,71.9667,102.5,"Gostinitsa ""Zapolyar'ye"""
48,Qaanaaq,GL,39.9,overcast clouds,77.484,-69.3632,Qaanaaq Hotel
50,Rubtsovsk,RU,56.35,clear sky,51.5,81.25,Запросто
51,Nanortalik,GL,45.84,overcast clouds,60.1432,-45.2371,Hotel Kap Farvel
52,Brae,GB,55.31,scattered clouds,60.3964,-1.353,Busta House Hotel
57,Constitucion,CL,55.96,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
70,Mar Del Plata,AR,59.0,few clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
71,Grindavik,IS,50.56,overcast clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
72,Chuy,UY,58.3,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
77,Thompson,CA,57.36,overcast clouds,55.7435,-97.8558,Burntwood Hotel
78,Ushuaia,AR,38.86,broken clouds,-54.8,-68.3,Albatros Hotel
81,Shimanovsk,RU,54.45,scattered clouds,52.0,127.7,Гостиница Домашняя
82,Tasiilaq,GL,39.13,overcast clouds,65.6145,-37.6368,The Red House
83,Yellowknife,CA,45.32,broken clouds,62.456,-114.3525,The Explorer Hotel
